pmid,pmcid,title,year,extraction_status,confidence,source,n_genes,genes,context,has_fulltext
40779729,PMC12360192,Risk Score Model of Aging-Related Genes for Bladder Cancer and Its Application in Clinical Prognosis.,2025,extracted,high,fulltext_window,12,GAPDH|MAPK3|NUDT1|PDGFRA|GCLM|ADH1B|PAPPA|SERPINB2|STAT5A|ZAP70|PTK2B|XIAP,"ognostic genes were detected (Fig 1A). Subsequently, 12 genes with high correlations were screened via LASSO regression (Data Supplement, Fig S1A), and the 12 genes were further included in multivariate Cox regression analysis (Fig 1B). Finally, the risk model obtained in this study is as follows: Risk score=GAPDH Exp×(0.305)+MAPK3 Exp×(0.293)+NUDT1 Exp×(0.281)+PDGFRA Exp×(0.199)+GCLM Exp×(0.194)+ADH1B Exp×(0.121)+PAPPA Exp×(0.116)+SERPINB2 Exp×(–0.063)+STAT5A Exp×(–0.184)+ZAP70 Exp×(–0.212)+PTK",Y
40735323,PMC12303948,Lactylation prognostic signature identifies DHCR7 as a modulator of chemoresistance and immunotherapy efficacy in bladder cancer.,2025,extracted,high,fulltext_window,9,DHCR7|P4HB|CD109|FADS1|HOXC8|CLDN5|TMC7|KRT4|ADIRF,"rent cluster numbers. E) Kaplan-Meier survival curves comparing two gene clusters with a significant p-value. F) Box plots showing gene expression levels for multiple genes across two clusters.Development and validation of a lactylation related gene signatureAll patients were randomly divided into training and validation sets at a 1:1 ratio. From the initial 1,250 differentially expressed genes, 692 were identified as preliminary prognostic genes through one way cox regression analysis. Using th",Y
40500142,,Machine learning-driven construction and validation of an intra-tumoral heterogeneity-associated prognostic model for bladder urothelial carcinoma.,2025,extracted,high,fulltext_window,12,STAP2|CHMP4C|PRSS8|FAAH2|LYPD3|CNKSR1|SPINT1|PRRG4|ALS2CL|SH2D3A|CD9|PPL,"uggest that the gene set is involved in essen - tial biological processes such as cell signaling, tissue formation, and disease progression, offering potential avenues for further research ( Figure 2 ). Construction and validation of the ITH-related prognostic model A total of 101 independent and combined algorithms were utilized to construct the ITH-related signature (Supplementary Table 1). The TCGA dataset was used as the training set, while the remaining five data - sets served as validation",Y
40442298,PMC12122888,Disulfide bond-related gene signature development for bladder cancer prognosis prediction and immune microenvironment characterization.,2025,extracted,high,fulltext_window,8,CALR|HLA-G|HSPA5|THBS1|TFRC|LTBP1|IGF1|NPR3,"ing program incorporating 10 algorithms. This process generated 89 prognostic models, with the C-index of each model in the training and testing cohorts shown in Fig. 2A. The model developed by StepCox[forward] was selected as the optimal prognostic signature, achieving the highest average C-index of 0.658. Eight core genes were ultimately selected as disulfide-related signature biomarkers. The risk score was calculated as follows: Risk Score = 0.224 × CALR exp + 0.320 × HLA-G exp + 0.012 × HSPA",Y
40520868,PMC12163458,The role of LRRC15-SCG5 in ECM protein binding as a prognostic signature for urothelial carcinoma.,2025,excluded,missing,none,0,,Only LRRC15 and SCG5; fewer than three genes,Y
40438104,PMC12116251,A lactate-related tSNE signature defines prognostic subtypes of bladder cancer and reveals LINC01094-mediated VIM stabilization in metastasis and drug resistance.,2025,extracted,high,fulltext_window,3,YBX3|NCF2|LINC01451,. (2024) 22:587. doi: 10.1186/s12967-024-05391-5 38902737 PMC1119117414 TanZChenXZuoJFuSWangHWangJ. Comprehensive analysis of scRNA-Seq and bulk RNA-Seq reveals dynamic changes in the tumor immune microenvironment of bladder cancer and establishes a prognostic model. J Transl Med. (2023) 21:223. doi: 10.1186/s12967-023-04056-z 36973787 PMC1004473915 FengZHLiangYPCenJJYaoHHLinHSLiJY. m6A-immune-related lncRNA prognostic signature for predicting immune landscape and prognosis of bladder cancer. J ,Y
40348840,PMC12065698,Integrated prognostic assessment of apoptosis and chemotherapy related gene in bladder cancer: a prognostic signature.,2025,extracted,high,abstract,4,FASN|GLI2|VHL|PDGFRA,"We obtained a prognostic risk model composed of four apoptosis and chemotherapy related genes (FASN, GLI2, VHL, and PDGFRA).",Y
40319103,PMC12049545,Single-cell RNA sequencing reveals a fibroblast gene signature that promotes T-cell infiltration in muscle-invasive bladder cancer.,2025,extracted,high,fulltext_window,12,CXCL12|KCNN3|CCDC80|IGF1|SERPINF1|LAMA2|SVEP1|LHFPL6|PTGER3|COL18A1|ITGBL1|ISG15,"hy donors (n = 3) and MIBC patients (n = 3). Chi-square test. *P < 0.05, **P < 0.01, ***P < 0.001. F CXCL12 chemotaxis in Jurkat T cells. ns = not significant, *P < 0.05, **P < 0.01, ***P < 0.001, n = 3. Scale bar = 200 μm.Fibroblast-associated gene signatures as prognostic markers in MIBCTo determine the impact of various fibroblast subtypes on the survival prognosis of patients with MIBC, we utilized the TCGA database and conducted LASSO regression analysis to select characteristic genes assoc",Y
40376515,PMC12076236,Identification and validation of a 9-RBPs-related gene signature associated with prognosis and immune infiltration in bladder cancer based on bioinformatics analysis and machine learning.,2025,extracted,high,abstract_window,9,OAS1|MTG1|DUS4L|IGF2BP3|NOL12|PABPC1L|ZC3HAV1L|TRMT2A|TRMU," RBPs and assess their prognostic significance. The optimal predictive model was selected by integrating multiple machine learning algorithms, enabling the identification of hub genes associated with BLCA prognosis and developing an RBP-related gene signature. To evaluate the prognostic signature's efficacy, survival curves and receiver operating characteristic (ROC) curves were generated. A nomogram was constructed and validated to predict the survival of BLCA patients at 1, 3, and 5 years. Fur",Y
40427675,PMC12109300,Integration of Single-Cell and Bulk Transcriptome to Reveal an Endothelial Transition Signature Predicting Bladder Cancer Prognosis.,2025,extracted,high,fulltext,6,ADAM15|AP2S1|ARHGDIB|BCAP31|NDUFB1|VWF,"Within this signature, six key genes were highlighted: ADAM15, AP2S1, ARHGDIB, BCAP31, NDUFB1, and VWF.",Y
40330458,,"Advancing personalized, predictive, and preventive medicine in bladder cancer: a multi-omics and machine learning approach for novel prognostic modeling, immune profiling, and therapeutic target discovery.",2025,extracted,high,abstract,8,IL32|AHNAK|ANXA5|FN1|GSN|CNN3|FXYD3|CTSS,"Survival analysis, immune infiltration, pathway enrichment, and drug sensitivity were evaluated to validate the model.The ICDRS, based on eight key genes (IL32, AHNAK, ANXA5, FN1, GSN, CNN3, FXYD3, CTSS), effectively stratified BLCA patients into high- and low-risk groups with significant differences in overall survival (OS, P < 0.001).",N
39991573,PMC11843231,Integrative multi-omics and machine learning identify a robust signature for discriminating prognosis and therapeutic targets in bladder cancer.,2025,extracted,high,abstract_window,5,CTSE|XAGE2|MAP1A|CASQ2|FXYD6," by acetylation. These genes were further refined by intersecting with scRNA-DEG obtained from the scRNA-seq dataset, resulting in the identification of key genes. Subsequently, consistency clustering analysis was performed based on these key genes. Prognostic models were then developed utilizing Cox regression analysis and least absolute shrinkage and selection operator (LASSO) Cox regression. Independent prognostic factors were determined through independent prognostic analysis, followed by th",Y
39867879,PMC11757262,"Development and validation of a glycolysis-associated gene signature for predicting the prognosis, immune landscape, and drug sensitivity in bladder cancer.",2024,extracted,high,fulltext_window,14,LGALS9|NRP1|TNFSF9|TNFRSF14|CD276|CD40|HLA-DOA|HLA-G|HLA-B|HLA-A|HLA-F|HLA-DMA|HLA-E|CTLA4," risk and low risk groups for the expression of immune checkpoint-related genes and HLA genes by wilcox ranksum test. We found signi ﬁcantly different expression of most immune checkpoint-related genes and HLA FIGURE 7 External identi ﬁcation of the prognostic model for bladder cancer based on (A) GSE32894, (B) GSE48276, and (C) GSE48075 datasets. Shen et al. 10.3389/fimmu.2024.1430583 Frontiers in Immunology frontiersin.org14 genes between the two groups, such as LGALS9, NRP1, TNFSF9, TNFRSF14,",Y
39708127,PMC11663206,Integration of bulk and single-cell RNA-seq reveals prognostic gene signatures in patients with bladder cancer treated with immune checkpoint inhibitors.,2024,extracted,high,fulltext,5,APOE|C1QB|C1QA|APOC1|C1QC,"Our findings revealed that the LA-TAM signature genes, such as APOE, C1QB, C1QA, APOC1, and C1QC, were expressed significantly in M1/M2 macrophages compared to that in monocytes, as depicted in Fig.",Y
39749345,PMC11693660,Exploration and validation of a novel reactive oxygen species-related signature for predicting the prognosis and chemotherapy response of patients with bladder cancer.,2024,extracted,high,fulltext_window,17,JUN|CALR|P4HB|ELN|MYC|FASN|REV3L|VHL|NID1|SLC38A1|TFRC|AKR1B1|ITGA3|CGB5|HLA-G|FADS1|ORM1,"60.00062100methylergometrine-0.644-0.8630.00064100verteporfin-0.6073-0.8440.00757100rottlerin-0.683-0.840.00817100withaferin A-0.5694-0.8320.00145100clofilium tosylate-0.5973-0.8320.009371003.4.Construction and validation of the ROS-based prognostic signatureOur study conducted UCR analysis to identify ROS-related DEGs notably correlated with OS, and 71 genes were included in subsequent analyses (p<0.05) ( Figure 3A ). Aiming to ensure the clinical outcomes stability and reliability based on the",Y
39503984,PMC11541995,Prognosis and immunotherapy significances of a cancer-associated fibroblasts-related gene signature in bladder urothelial carcinoma.,2024,extracted,high,abstract_window,5,EGFL6|NRSN2|SEMA3D|TM4SF1|TPST1,"arrants further investigation. There is an urgent need to explore the predictive utility of CAF-related genes for prognosis in BUC.The transcriptome and clinical data of 407 BUC patients in The Cancer Genome Atlas (TCGA) database were analyzed and a prognostic model was established. A total of 476 BUC cases from the E-MTAB-4321 database were used for validation. A risk model was constructed utilizing CAF-related genes through LASSO Cox regression, investigating its association with prognosis, ge",Y
39507864,PMC11535731,Cuproptosis-related signature predicts prognosis and indicates tumor immune infiltration in bladder cancer.,2024,extracted,high,fulltext_window,13,FKBP9|LIPT1|ALDH1L2|TPST1|MED19|COX7B|EMP1|EXT1|STXBP2|DCXR|ZNF524|GOLT1A|RILP," of three clusters within the high- and low-risk groups is illustrated. **, P<0.01; ***, P<0.001. TCGA, The Cancer Genome Atlas; BLCA, bladder cancer; DEGs, differentially expressed genes; C-index, concordance index. Sheng et al. Cuproptosis-related signature in BLCA2288 © AME Publishing Company. Transl Androl Urol 2024;13(10):2280-2293 | https://dx.doi.org/10.21037/tau-24-456 FKBP9 LIPT1 ALDH1L2 TPST1 MED19 COX7B EMP1 EXT1 STXBP2 ILVBL DCXR ZNF524 GOLT1A RILP EXT1 EMP1 FKBP9 ALDH1L2 TPST1 COX7B",Y
39432593,PMC11495766,Construction and multiple validations of a robust ferroptosis-related prognostic model in bladder cancer: A comprehensive study.,2024,extracted,high,abstract_window,6,EGFR|FADS1|ISCU|PGRMC1|PTPN6|TRIM26,"Ferroptosis is iron-dependent programmed cell death that inhibits tumor growth, particularly in traditional treatment-resistant tumors. Prognostic models constructed from ferroptosis-related genes are lacking; prognostic biomarkers remain insufficient. We acquired gene expression data and corresponding clinical information for bladder cancer (BC) samples from public databases. Ferroptosis-related genes from the ferroptosis database were screened for clinical predictive value. We validated gene e",Y
39343809,PMC11439906,Development and validation of a novel liquid-liquid phase separation gene signature for bladder cancer.,2024,extracted,high,fulltext_window,6,NES|HRG|PHGDH|MMP9|ADIPOQ|NAMPT,"\right), \hfill \\ {\text{GOCC}}\_{\text{INTERMEDIATE}}\_{\text{FILAMENT }}\left( {{\text{NES }} = {\text{2}}.{\text{5114}},q = {\text{2}}.{\text{31E}} - 0{\text{8}}} \right) \hfill \\ \end{gathered}$$\end{document} Fig. 5(A) The top 5 pathways gene signature assessment in the HRG using KEGG analysis. (B) The top 5 pathways gene signature assessment in the HRG using GO analysis. Clinical, genetic, and immune cell correlation analysisBox plots for clinical correlation analysis were generated usin",Y
39160525,PMC11331755,Immune checkpoint gene signature assesses immune infiltration profiles in bladder cancer and identifies KRT23 as an immunotherapeutic target.,2024,extracted,high,fulltext,5,TNFAIP6|CPVL|SLFN11|KRT23|SPRR3,"The 9 ICGs‐related genes forming the signature exhibited distinct expression diverse expression patterns, including five relatively highly expressed genes (TNFAIP6, CPVL, SLFN11, KRT23 and SPRR3) and four relatively lowly expressed genes (CD3D, GBP4, PLEKHA6 and PPP1R3C), consistent with the risk coefficient.Fig.",Y
39115575,PMC11310377,A metabolic reprogramming-related gene signature correlates with prognosis and proliferation of BLCA.,2024,extracted,high,abstract,3,AK3|GALK1|NUP205,"Our signature constructed on the basis of AK3, GALK1 and NUP205 expression, detail features and interactions between these three genes were further explored.",Y
39033098,PMC11264995,Identification of tumor-specific T cell signature predicting cancer immunotherapy response in bladder cancer by multi-omics analysis and experimental verification.,2024,extracted,high,fulltext_window,10,VAMP5|TIGIT|LCK|CHORDC1|CD27|CACYBP|PDCD1|CTLA4|CD274|IFNG,"tients treated with immunotherapy. Variables with a K-M analysis P value less than 0.05 are VAMP5, TIGIT, LCK, CHORDC1, CD27, and CACYBP. (C) Correlation analysis on T cell infiltration and 39 hub genes in the IMvigor210 cohortsTumor-specific T cell signature related to anti-tumor immunity and immunotherapy responseThen, we constructed a TstcSig based on five tumor-specific T cell-related genes associated with survival and T cell infiltration (Fig. 3A). The ESTIMATE, immune, and stromal scores o",Y
39033778,PMC11315389,Integrating single-cell RNA-seq to identify fibroblast-based molecular subtypes for predicting prognosis and therapeutic response in bladder cancer.,2024,extracted,high,abstract_window,9,CERCAM|TM4SF1|FN1|ANXA1|LOX|EMP1|HEYL|FBN1|SLC2A3,"rapeutic drug sensitivity between high- and low-risk groups were investigated. RT-qPCR and immunohistochemistry validated the expression of prognostic genes.Fibroblast marker genes identified three molecular subtypes in the testing set. A prognostic signature comprising ten genes stratified BLCA patients into high- and low-score groups. This signature was validated in one internal and two external validation sets. High-score patients exhibited increased immune cell infiltration, elevated chemoki",Y
38735911,PMC11089032,Prognostic significance and immune landscape of a cell cycle progression-related risk model in bladder cancer.,2024,extracted,high,abstract,3,RAD54B|KPNA2|TPM1,"Integration of the risk model with various clinical variables led to the development of a nomogram.To build the risk model, three CCP-related genes (RAD54B, KPNA2, and TPM1) were carefully chosen.",Y
